Subject	B11	A06	B09	B12	B04	B01	B16	C09
DW.caries	low	low	high	high	low	low	high	high
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella|s_micans	0	0	0	0	10	0	0	0
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella|s_salivae	10	3729	64	45	1788	1468	0	0
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella|s_salivae.1	0	841	0	0	0	0	0	0
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella|s_Unclassified.1	0	0	0	0	11642	39	97	0
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella|s_melaninogenica	152	24449	306	0	17235	10878	169	0
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella|s_Unclassified.2	0	1050	1710	15	2785	66	0	0
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella|s_Unclassified.3	0	0	0	0	0	51	0	0
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella|s_Unclassified.4	0	306	0	0	0	0	0	0
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella|s_Unclassified.5	0	237	0	0	3927	33	0	0
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella|s_veroralis	0	909	0	0	445	438	11	0
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella|s_veroralis.1	0	0	0	0	0	0	0	0
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella|s_Unclassified.6	0	1406	0	0	1172	0	0	0
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella|s_sp._HMT_396	0	565	0	0	13	0	0	0
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella|s_Unclassified.7	0	0	0	0	30	42	0	0
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella|s_sp._HMT_300	0	0	0	0	0	36	0	0
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella|s_denticola	8	0	0	0	23	16	0	0
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella|s_maculosa	0	10	0	0	0	0	0	0
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella|s_maculosa.1	466	0	14	0	14	27	0	0
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella|s_oris	0	0	0	0	0	0	208	0
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella|s_oris.1	0	0	0	0	0	0	0	0
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella|s_oris.2	0	0	0	0	22	0	0	0
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella|s_oris.3	0	0	0	0	0	625	0	0
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella|s_oris.4	17826	0	18	0	265	2717	0	0
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella|s_Unclassified.8	0	0	0	0	0	1235	0	0
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella|s_intermedia	0	0	19	0	0	0	0	0
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella|s_nigrescens	2904	5399	0	0	73	503	4	0
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella|s_pallens	0	0	0	0	0	3474	0	0
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella|s_pallens.1	0	0	0	0	6923	1022	0	0
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella|s_pallens.2	0	0	0	0	0	0	0	0
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella|s_aurantiaca	0	0	0	0	0	0	0	0
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella|s_aurantiaca.1	0	0	0	0	0	0	0	0
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella|s_sp._HMT_317	0	1124	0	0	0	0	0	0
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella|s_sp._HMT_472	104	0	0	0	0	0	0	0
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella|s_sp._HMT_376	0	0	0	0	0	56	0	0
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella|s_shahii	0	54	0	0	0	0	0	0
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella|s_sp._HMT_475	13	148	0	0	0	0	0	0
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella|s_sp._HMT_475.1	0	66	0	0	0	0	0	0
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella|s_sp._HMT_942	0	11554	0	0	0	0	0	0
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella|s_nanceiensis	0	0	4	8838	1978	3	2	0
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella|s_nanceiensis.1	0	1221	0	46	657	0	0	0
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella|s_nanceiensis.2	0	0	0	0	0	0	0	0
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Porphyromonadaceae|g_Porphyromonas|s_sp._HMT_930	0	0	0	0	1280	0	0	0
